TransCode	TransDate	Detail
SALE	15/07/2023 	Receipt RCPT_14866
AccountCode	Partner	CostCenterCode	Debit	Credit	Details	Tax
1010		209 - JAO SALAMAH BR.	 10 	 0 	Receipt RCPT_14866	
1110	1110405 - TAWUNIYA INS. COMPANY	209 - JAO SALAMAH BR.	 262.8 	 0 	Receipt RCPT_14866	
5011		209 - JAO SALAMAH BR.	 0 	 496 	Receipt RCPT_14866	
5031		209 - JAO SALAMAH BR.	 223.2 	 0 	Receipt RCPT_14866	
1310		209 - JAO SALAMAH BR.	 0 	 12.95 	Receipt RCPT_14866	
5041		209 - JAO SALAMAH BR.	 12.95 	 0 	Receipt RCPT_14866	
