TransCode	TransDate	Detail
SALE	11/07/2023 	Receipt RCPT_5503
AccountCode	Partner	CostCenterCode	Debit	Credit	Details	Tax
1010		305 - JAO AWAMAYAH BR.	 50 	 0 	Receipt RCPT_5503	
1110	1110405 - TAWUNIYA INS. COMPANY	305 - JAO AWAMAYAH BR.	 220 	 0 	Receipt RCPT_5503	
5011		305 - JAO AWAMAYAH BR.	 0 	 450 	Receipt RCPT_5503	
5031		305 - JAO AWAMAYAH BR.	 180 	 0 	Receipt RCPT_5503	
1310		305 - JAO AWAMAYAH BR.	 0 	 10.84 	Receipt RCPT_5503	
5041		305 - JAO AWAMAYAH BR.	 10.84 	 0 	Receipt RCPT_5503	
