TransCode	TransDate	Detail
SALE	25/08/2023 	Receipt RCPT_16275
AccountCode	Partner	CostCenterCode	Debit	Credit	Details	Tax
1010		307 - JAO JUBAIL BR.	 80 	 0 	Receipt RCPT_16275	
1110	1110 - ----- TRADE ACCOUNTS RECEIVABLE  -----	307 - JAO JUBAIL BR.	 140 	 0 	Receipt RCPT_16275	
5011		307 - JAO JUBAIL BR.	 0 	 400 	Receipt RCPT_16275	
5031		307 - JAO JUBAIL BR.	 180 	 0 	Receipt RCPT_16275	
1310		307 - JAO JUBAIL BR.	 0 	 11.75 	Receipt RCPT_16275	
5041		307 - JAO JUBAIL BR.	 11.75 	 0 	Receipt RCPT_16275	
