TransCode	TransDate	Detail
SALE	23/07/2023 	Receipt RCPT_4813
AccountCode	Partner	CostCenterCode	Debit	Credit	Details	Tax
1010		212 - JAO THUWAL BR. 	 0 	 30 	Receipt RCPT_4813	
1110	1110405 - TAWUNIYA INS. COMPANY	212 - JAO THUWAL BR. 	 0 	 242.8 	Receipt RCPT_4813	
5011		212 - JAO THUWAL BR. 	 496 	 0 	Receipt RCPT_4813	
5031		212 - JAO THUWAL BR. 	 0 	 223.2 	Receipt RCPT_4813	
1310		212 - JAO THUWAL BR. 	 18.56 	 0 	Receipt RCPT_4813	
5041		212 - JAO THUWAL BR. 	 0 	 18.56 	Receipt RCPT_4813	
