TransCode	TransDate	Detail
SALE	21/08/2023 	Receipt RCPT_8871
AccountCode	Partner	CostCenterCode	Debit	Credit	Details	Tax
1010		210 - JAO HERA BR. JEDDAH 	 80 	 0 	Receipt RCPT_8871	
1110	1110405 - TAWUNIYA INS. COMPANY	210 - JAO HERA BR. JEDDAH 	 140 	 0 	Receipt RCPT_8871	
5011		210 - JAO HERA BR. JEDDAH 	 0 	 400 	Receipt RCPT_8871	
5031		210 - JAO HERA BR. JEDDAH 	 180 	 0 	Receipt RCPT_8871	
1310		210 - JAO HERA BR. JEDDAH 	 0 	 44.88 	Receipt RCPT_8871	
5041		210 - JAO HERA BR. JEDDAH 	 44.88 	 0 	Receipt RCPT_8871	
