TransCode	TransDate	Detail
SALE	09/08/2023 	Receipt RCPT_8807
AccountCode	Partner	CostCenterCode	Debit	Credit	Details	Tax
1010		210 - JAO HERA BR. JEDDAH 	 80 	 0 	Receipt RCPT_8807	
1110	1110405 - TAWUNIYA INS. COMPANY	210 - JAO HERA BR. JEDDAH 	 140 	 0 	Receipt RCPT_8807	
5011		210 - JAO HERA BR. JEDDAH 	 0 	 400 	Receipt RCPT_8807	
5031		210 - JAO HERA BR. JEDDAH 	 180 	 0 	Receipt RCPT_8807	
1310		210 - JAO HERA BR. JEDDAH 	 0 	 71.59 	Receipt RCPT_8807	
5041		210 - JAO HERA BR. JEDDAH 	 71.59 	 0 	Receipt RCPT_8807	
