TransCode	TransDate	Detail
SALE	17/08/2023 	Receipt RCPT_16247
AccountCode	Partner	CostCenterCode	Debit	Credit	Details	Tax
1010		307 - JAO JUBAIL BR.	 30 	 0 	Receipt RCPT_16247	
1110	1110405 - TAWUNIYA INS. COMPANY	307 - JAO JUBAIL BR.	 242.8 	 0 	Receipt RCPT_16247	
5011		307 - JAO JUBAIL BR.	 0 	 496 	Receipt RCPT_16247	
5031		307 - JAO JUBAIL BR.	 223.2 	 0 	Receipt RCPT_16247	
1310		307 - JAO JUBAIL BR.	 0 	 17.93 	Receipt RCPT_16247	
5041		307 - JAO JUBAIL BR.	 17.93 	 0 	Receipt RCPT_16247	
