TransCode	TransDate	Detail
SALE	09/08/2023 	Receipt RCPT_8810
AccountCode	Partner	CostCenterCode	Debit	Credit	Details	Tax
1010		210 - JAO HERA BR. JEDDAH 	 40 	 0 	Receipt RCPT_8810	
1110	1110402 - MEDGULF INS. COMPANY	210 - JAO HERA BR. JEDDAH 	 160 	 0 	Receipt RCPT_8810	
5011		210 - JAO HERA BR. JEDDAH 	 0 	 400 	Receipt RCPT_8810	
5031		210 - JAO HERA BR. JEDDAH 	 200 	 0 	Receipt RCPT_8810	
1310		210 - JAO HERA BR. JEDDAH 	 0 	 22.63 	Receipt RCPT_8810	
5041		210 - JAO HERA BR. JEDDAH 	 22.63 	 0 	Receipt RCPT_8810	
