TransCode	TransDate	Detail
PUR	08/07/2023 	Purchase VCHR_4137
AccountCode	Partner	CostCenterCode	Debit	Credit	Details	Tax
1310		307 - JAO JUBAIL BR.	 91.2 	 0 	Purchase VCHR_4137	
2010	2010307519 - DEHLAWI OPTICAL INDUSTRIE	307 - JAO JUBAIL BR.	 0 	 91.2 	Purchase VCHR_4137 INV#_789012	
