TransCode	TransDate	Detail
SALE	16/07/2023 	Receipt RCPT_14880
AccountCode	Partner	CostCenterCode	Debit	Credit	Details	Tax
1010		209 - JAO SALAMAH BR.	 80 	 0 	Receipt RCPT_14880	
1110	1110405 - TAWUNIYA INS. COMPANY	209 - JAO SALAMAH BR.	 140 	 0 	Receipt RCPT_14880	
5011		209 - JAO SALAMAH BR.	 0 	 400 	Receipt RCPT_14880	
5031		209 - JAO SALAMAH BR.	 180 	 0 	Receipt RCPT_14880	
1310		209 - JAO SALAMAH BR.	 0 	 71.48 	Receipt RCPT_14880	
5041		209 - JAO SALAMAH BR.	 71.48 	 0 	Receipt RCPT_14880	
