TransCode	TransDate	Detail
SALE	08/08/2023 	Receipt RCPT_4845
AccountCode	Partner	CostCenterCode	Debit	Credit	Details	Tax
1010		212 - JAO THUWAL BR. 	 50 	 0 	Receipt RCPT_4845	
1110	1110405 - TAWUNIYA INS. COMPANY	212 - JAO THUWAL BR. 	 359.2 	 0 	Receipt RCPT_4845	
5011		212 - JAO THUWAL BR. 	 0 	 744 	Receipt RCPT_4845	
5031		212 - JAO THUWAL BR. 	 334.8 	 0 	Receipt RCPT_4845	
1310		212 - JAO THUWAL BR. 	 0 	 18.64 	Receipt RCPT_4845	
5041		212 - JAO THUWAL BR. 	 18.64 	 0 	Receipt RCPT_4845	
