TransCode	TransDate	Detail
SALE	11/07/2023 	Receipt RCPT_14838
AccountCode	Partner	CostCenterCode	Debit	Credit	Details	Tax
1010		209 - JAO SALAMAH BR.	 10 	 0 	Receipt RCPT_14838	
1110	1110405 - TAWUNIYA INS. COMPANY	209 - JAO SALAMAH BR.	 262.8 	 0 	Receipt RCPT_14838	
5011		209 - JAO SALAMAH BR.	 0 	 496 	Receipt RCPT_14838	
5031		209 - JAO SALAMAH BR.	 223.2 	 0 	Receipt RCPT_14838	
1310		209 - JAO SALAMAH BR.	 0 	 28.4 	Receipt RCPT_14838	
5041		209 - JAO SALAMAH BR.	 28.4 	 0 	Receipt RCPT_14838	
