TransCode	TransDate	Detail
SALE	12/08/2023 	Receipt RCPT_5607
AccountCode	Partner	CostCenterCode	Debit	Credit	Details	Tax
1010		305 - JAO AWAMAYAH BR.	 80 	 0 	Receipt RCPT_5607	
1110	1110405 - TAWUNIYA INS. COMPANY	305 - JAO AWAMAYAH BR.	 140 	 0 	Receipt RCPT_5607	
5011		305 - JAO AWAMAYAH BR.	 0 	 400 	Receipt RCPT_5607	
5031		305 - JAO AWAMAYAH BR.	 180 	 0 	Receipt RCPT_5607	
1310		305 - JAO AWAMAYAH BR.	 0 	 14.85 	Receipt RCPT_5607	
5041		305 - JAO AWAMAYAH BR.	 14.85 	 0 	Receipt RCPT_5607	
