TransCode	TransDate	Detail
SALE	14/08/2023 	Receipt RCPT_8591
AccountCode	Partner	CostCenterCode	Debit	Credit	Details	Tax
1010		306 - JAO SAFWA BR.	 485 	 0 	Receipt RCPT_8591	
5011		306 - JAO SAFWA BR.	 0 	 485 	Receipt RCPT_8591	
1310		306 - JAO SAFWA BR.	 0 	 171.75 	Receipt RCPT_8591	
5041		306 - JAO SAFWA BR.	 171.75 	 0 	Receipt RCPT_8591	
