TransCode	TransDate	Detail
PUR	13/07/2023 	Purchase refund VCHR_7030
AccountCode	Partner	CostCenterCode	Debit	Credit	Details	Tax
1310		303 - JAO TAROUT BR.	 0 	 56 	Purchase refund VCHR_7030	
2010	2010 - -----  NOTES & TRADE ACCOUNTS PAYABLE  -----	303 - JAO TAROUT BR.	 56 	 0 	Purchase refund VCHR_7030	
