TransCode	TransDate	Detail
PUR	07/07/2023 	Purchase VCHR_2835
AccountCode	Partner	CostCenterCode	Debit	Credit	Details	Tax
1310		213 - JAO AL-QUDS BR 	 22.4 	 0 	Purchase VCHR_2835	
2010	2010313519 - DEHLAWI OPTICAL INDUSTRIE	213 - JAO AL-QUDS BR 	 0 	 22.4 	Purchase VCHR_2835 INV#_786272	
