TransCode	TransDate	Detail
SALE	17/08/2023 	Receipt RCPT_8851
AccountCode	Partner	CostCenterCode	Debit	Credit	Details	Tax
1010		210 - JAO HERA BR. JEDDAH 	 350 	 0 	Receipt RCPT_8851	
1110	1110401 - BUPA ARABIA	210 - JAO HERA BR. JEDDAH 	 220 	 0 	Receipt RCPT_8851	
5011		210 - JAO HERA BR. JEDDAH 	 0 	 750 	Receipt RCPT_8851	
5031		210 - JAO HERA BR. JEDDAH 	 180 	 0 	Receipt RCPT_8851	
1310		210 - JAO HERA BR. JEDDAH 	 0 	 130.06 	Receipt RCPT_8851	
5041		210 - JAO HERA BR. JEDDAH 	 130.06 	 0 	Receipt RCPT_8851	
