TransCode	TransDate	Detail
SALE	02/08/2023 	Receipt RCPT_8775
AccountCode	Partner	CostCenterCode	Debit	Credit	Details	Tax
1010		210 - JAO HERA BR. JEDDAH 	 30 	 0 	Receipt RCPT_8775	
1110	1110401 - BUPA ARABIA	210 - JAO HERA BR. JEDDAH 	 190 	 0 	Receipt RCPT_8775	
5011		210 - JAO HERA BR. JEDDAH 	 0 	 400 	Receipt RCPT_8775	
5031		210 - JAO HERA BR. JEDDAH 	 180 	 0 	Receipt RCPT_8775	
1310		210 - JAO HERA BR. JEDDAH 	 0 	 18.77 	Receipt RCPT_8775	
5041		210 - JAO HERA BR. JEDDAH 	 18.77 	 0 	Receipt RCPT_8775	
