TransCode	TransDate	Detail
SLIP	16/08/2023 	Stip / Transfer
AccountCode	Partner	CostCenterCode	Debit	Credit	Details	Tax
1310		305 - JAO AWAMAYAH BR.	 0 	 7.06 	Stip / Transfer	
1310		305 - JAO AWAMAYAH BR.	 6.28 	 0 	Stip / Transfer	
1310		305 - JAO AWAMAYAH BR.	 475.3 	 0 	Stip / Transfer	
1310		305 - JAO AWAMAYAH BR.	 18.73 	 0 	Stip / Transfer	
1310		305 - JAO AWAMAYAH BR.	 52.27 	 0 	Stip / Transfer	
1310		305 - JAO AWAMAYAH BR.	 27.49 	 0 	Stip / Transfer	
1310		305 - JAO AWAMAYAH BR.	 12.67 	 0 	Stip / Transfer	
1310		305 - JAO AWAMAYAH BR.	 12.55 	 0 	Stip / Transfer	
1310		305 - JAO AWAMAYAH BR.	 11.91 	 0 	Stip / Transfer	
1310		305 - JAO AWAMAYAH BR.	 107.89 	 0 	Stip / Transfer	
1310		305 - JAO AWAMAYAH BR.	 14.1 	 0 	Stip / Transfer	
1310		305 - JAO AWAMAYAH BR.	 56.38 	 0 	Stip / Transfer	
1310		305 - JAO AWAMAYAH BR.	 56.38 	 0 	Stip / Transfer	
1310		305 - JAO AWAMAYAH BR.	 0 	 20.88 	Stip / Transfer	
1310		305 - JAO AWAMAYAH BR.	 6.61 	 0 	Stip / Transfer	
1310		305 - JAO AWAMAYAH BR.	 0 	 56.38 	Stip / Transfer	
1310		305 - JAO AWAMAYAH BR.	 54.84 	 0 	Stip / Transfer	
1310		305 - JAO AWAMAYAH BR.	 28.23 	 0 	Stip / Transfer	
1310		305 - JAO AWAMAYAH BR.	 0 	 20 	Stip / Transfer	
1310		212 - JAO THUWAL BR. 	 90.84 	 0 	Stip / Transfer	
1310		212 - JAO THUWAL BR. 	 20.88 	 0 	Stip / Transfer	
1310		212 - JAO THUWAL BR. 	 0 	 170.37 	Stip / Transfer	
1310		212 - JAO THUWAL BR. 	 47 	 0 	Stip / Transfer	
1310		212 - JAO THUWAL BR. 	 17.58 	 0 	Stip / Transfer	
