TransCode	TransDate	Detail
SLIP	16/08/2023 	Stip / Transfer
AccountCode	Partner	CostCenterCode	Debit	Credit	Details	Tax
1310		301 - JAO QATIF STORE 	 0 	 52.27 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 9.3 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 11.48 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 6.25 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 12.67 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 13.75 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 209.94 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 26.17 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 5.93 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 5.18 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 14.39 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 423 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 24.81 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 6.04 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 11.87 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 12.55 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 10 	 0 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 6.33 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 33.49 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 18.55 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 9.16 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 5.03 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 24.84 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 11.91 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 70.83 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 5.32 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 6.04 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 907.84 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 686.87 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 267.9 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 107.89 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 3825.26 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 12.76 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 14.1 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 56.38 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 85.37 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 13.15 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 56.38 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 17.58 	 0 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 40.64 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 87.35 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 17.97 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 18.06 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 6.61 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 56.38 	 0 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 14.9 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 52.82 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 249.31 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 20 	 0 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 54.84 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 27.38 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 6.04 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 32.33 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 5.38 	 0 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 11.52 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 28.23 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 260.79 	 0 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 49.68 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 6.15 	Stip / Transfer	
1310		308 - JAO SAIHAT BR.	 12.59 	 0 	Stip / Transfer	
1310		308 - JAO SAIHAT BR.	 0 	 88.92 	Stip / Transfer	
1310		308 - JAO SAIHAT BR.	 0 	 18.11 	Stip / Transfer	
1310		308 - JAO SAIHAT BR.	 6.07 	 0 	Stip / Transfer	
1310		308 - JAO SAIHAT BR.	 0 	 88.92 	Stip / Transfer	
1310		308 - JAO SAIHAT BR.	 194.45 	 0 	Stip / Transfer	
1310		308 - JAO SAIHAT BR.	 592.54 	 0 	Stip / Transfer	
1310		308 - JAO SAIHAT BR.	 2.92 	 0 	Stip / Transfer	
1310		308 - JAO SAIHAT BR.	 0 	 20.88 	Stip / Transfer	
1310		308 - JAO SAIHAT BR.	 18.6 	 0 	Stip / Transfer	
1310		308 - JAO SAIHAT BR.	 49.09 	 0 	Stip / Transfer	
1310		308 - JAO SAIHAT BR.	 0 	 20.88 	Stip / Transfer	
1310		308 - JAO SAIHAT BR.	 5.98 	 0 	Stip / Transfer	
1310		308 - JAO SAIHAT BR.	 12.59 	 0 	Stip / Transfer	
1310		308 - JAO SAIHAT BR.	 0 	 20 	Stip / Transfer	
1310		308 - JAO SAIHAT BR.	 222.17 	 0 	Stip / Transfer	
1310		308 - JAO SAIHAT BR.	 0 	 19 	Stip / Transfer	
1310		308 - JAO SAIHAT BR.	 87.35 	 0 	Stip / Transfer	
1310		308 - JAO SAIHAT BR.	 3.12 	 0 	Stip / Transfer	
1310		308 - JAO SAIHAT BR.	 186.84 	 0 	Stip / Transfer	
1310		308 - JAO SAIHAT BR.	 11.98 	 0 	Stip / Transfer	
1310		308 - JAO SAIHAT BR.	 0 	 27.49 	Stip / Transfer	
