TransCode	TransDate	Detail
PUR	08/07/2023 	Purchase refund VCHR_2839
AccountCode	Partner	CostCenterCode	Debit	Credit	Details	Tax
1310		213 - JAO AL-QUDS BR 	 0 	 110 	Purchase refund VCHR_2839	
2010	2010 - -----  NOTES & TRADE ACCOUNTS PAYABLE  -----	213 - JAO AL-QUDS BR 	 110 	 0 	Purchase refund VCHR_2839	
