TransCode	TransDate	Detail
SALE	06/08/2023 	Receipt RCPT_4839
AccountCode	Partner	CostCenterCode	Debit	Credit	Details	Tax
1010		212 - JAO THUWAL BR. 	 50 	 0 	Receipt RCPT_4839	
1110	1110405 - TAWUNIYA INS. COMPANY	212 - JAO THUWAL BR. 	 359.2 	 0 	Receipt RCPT_4839	
5011		212 - JAO THUWAL BR. 	 0 	 744 	Receipt RCPT_4839	
5031		212 - JAO THUWAL BR. 	 334.8 	 0 	Receipt RCPT_4839	
1310		212 - JAO THUWAL BR. 	 0 	 58.1 	Receipt RCPT_4839	
5041		212 - JAO THUWAL BR. 	 58.1 	 0 	Receipt RCPT_4839	
