TransCode	TransDate	Detail
SALE	17/07/2023 	Receipt RCPT_8720
AccountCode	Partner	CostCenterCode	Debit	Credit	Details	Tax
1010		210 - JAO HERA BR. JEDDAH 	 75 	 0 	Receipt RCPT_8720	
1110	1110401 - BUPA ARABIA	210 - JAO HERA BR. JEDDAH 	 475 	 0 	Receipt RCPT_8720	
5011		210 - JAO HERA BR. JEDDAH 	 0 	 1000 	Receipt RCPT_8720	
5031		210 - JAO HERA BR. JEDDAH 	 450 	 0 	Receipt RCPT_8720	
1310		210 - JAO HERA BR. JEDDAH 	 0 	 136.82 	Receipt RCPT_8720	
5041		210 - JAO HERA BR. JEDDAH 	 136.82 	 0 	Receipt RCPT_8720	
