TransCode	TransDate	Detail
SALE	17/07/2023 	Receipt RCPT_14886
AccountCode	Partner	CostCenterCode	Debit	Credit	Details	Tax
1010		209 - JAO SALAMAH BR.	 30 	 0 	Receipt RCPT_14886	
1110	1110405 - TAWUNIYA INS. COMPANY	209 - JAO SALAMAH BR.	 242.8 	 0 	Receipt RCPT_14886	
5011		209 - JAO SALAMAH BR.	 0 	 496 	Receipt RCPT_14886	
5031		209 - JAO SALAMAH BR.	 223.2 	 0 	Receipt RCPT_14886	
1310		209 - JAO SALAMAH BR.	 0 	 18.04 	Receipt RCPT_14886	
5041		209 - JAO SALAMAH BR.	 18.04 	 0 	Receipt RCPT_14886	
