TransCode	TransDate	Detail
SALE	26/08/2023 	Receipt RCPT_15084
AccountCode	Partner	CostCenterCode	Debit	Credit	Details	Tax
1010		209 - JAO SALAMAH BR.	 100 	 0 	Receipt RCPT_15084	
1110	1110405 - TAWUNIYA INS. COMPANY	209 - JAO SALAMAH BR.	 450 	 0 	Receipt RCPT_15084	
5011		209 - JAO SALAMAH BR.	 0 	 1000 	Receipt RCPT_15084	
5031		209 - JAO SALAMAH BR.	 450 	 0 	Receipt RCPT_15084	
1310		209 - JAO SALAMAH BR.	 0 	 161.31 	Receipt RCPT_15084	
5041		209 - JAO SALAMAH BR.	 161.31 	 0 	Receipt RCPT_15084	
