TransCode	TransDate	Detail
SALE	22/08/2023 	Receipt RCPT_8875
AccountCode	Partner	CostCenterCode	Debit	Credit	Details	Tax
1010		210 - JAO HERA BR. JEDDAH 	 75 	 0 	Receipt RCPT_8875	
1110	1110401 - BUPA ARABIA	210 - JAO HERA BR. JEDDAH 	 145 	 0 	Receipt RCPT_8875	
5011		210 - JAO HERA BR. JEDDAH 	 0 	 400 	Receipt RCPT_8875	
5031		210 - JAO HERA BR. JEDDAH 	 180 	 0 	Receipt RCPT_8875	
1310		210 - JAO HERA BR. JEDDAH 	 0 	 45.7 	Receipt RCPT_8875	
5041		210 - JAO HERA BR. JEDDAH 	 45.7 	 0 	Receipt RCPT_8875	
