TransCode	TransDate	Detail
SALE	27/08/2023 	Receipt RCPT_15089
AccountCode	Partner	CostCenterCode	Debit	Credit	Details	Tax
1010		209 - JAO SALAMAH BR.	 10 	 0 	Receipt RCPT_15089	
1110	1110405 - TAWUNIYA INS. COMPANY	209 - JAO SALAMAH BR.	 262.8 	 0 	Receipt RCPT_15089	
5011		209 - JAO SALAMAH BR.	 0 	 496 	Receipt RCPT_15089	
5031		209 - JAO SALAMAH BR.	 223.2 	 0 	Receipt RCPT_15089	
1310		209 - JAO SALAMAH BR.	 0 	 29.69 	Receipt RCPT_15089	
5041		209 - JAO SALAMAH BR.	 29.69 	 0 	Receipt RCPT_15089	
