TransCode	TransDate	Detail
SALE	30/08/2023 	Receipt RCPT_15114
AccountCode	Partner	CostCenterCode	Debit	Credit	Details	Tax
1010		209 - JAO SALAMAH BR.	 70 	 0 	Receipt RCPT_15114	
1110	1110405 - TAWUNIYA INS. COMPANY	209 - JAO SALAMAH BR.	 202.8 	 0 	Receipt RCPT_15114	
5011		209 - JAO SALAMAH BR.	 0 	 496 	Receipt RCPT_15114	
5031		209 - JAO SALAMAH BR.	 223.2 	 0 	Receipt RCPT_15114	
1310		209 - JAO SALAMAH BR.	 0 	 17.99 	Receipt RCPT_15114	
5041		209 - JAO SALAMAH BR.	 17.99 	 0 	Receipt RCPT_15114	
