TransCode	TransDate	Detail
SALE	25/08/2023 	Receipt RCPT_15073
AccountCode	Partner	CostCenterCode	Debit	Credit	Details	Tax
1010		209 - JAO SALAMAH BR.	 30 	 0 	Receipt RCPT_15073	
1110	1110405 - TAWUNIYA INS. COMPANY	209 - JAO SALAMAH BR.	 242.8 	 0 	Receipt RCPT_15073	
5011		209 - JAO SALAMAH BR.	 0 	 496 	Receipt RCPT_15073	
5031		209 - JAO SALAMAH BR.	 223.2 	 0 	Receipt RCPT_15073	
1310		209 - JAO SALAMAH BR.	 0 	 13.12 	Receipt RCPT_15073	
5041		209 - JAO SALAMAH BR.	 13.12 	 0 	Receipt RCPT_15073	
