TransCode	TransDate	Detail
SALE	19/08/2023 	Receipt RCPT_15041
AccountCode	Partner	CostCenterCode	Debit	Credit	Details	Tax
1010		209 - JAO SALAMAH BR.	 100 	 0 	Receipt RCPT_15041	
1110	1110405 - TAWUNIYA INS. COMPANY	209 - JAO SALAMAH BR.	 172.8 	 0 	Receipt RCPT_15041	
5011		209 - JAO SALAMAH BR.	 0 	 496 	Receipt RCPT_15041	
5031		209 - JAO SALAMAH BR.	 223.2 	 0 	Receipt RCPT_15041	
1310		209 - JAO SALAMAH BR.	 0 	 20.99 	Receipt RCPT_15041	
5041		209 - JAO SALAMAH BR.	 20.99 	 0 	Receipt RCPT_15041	
