TransCode	TransDate	Detail
SALE	25/08/2023 	Receipt RCPT_8894
AccountCode	Partner	CostCenterCode	Debit	Credit	Details	Tax
1010		210 - JAO HERA BR. JEDDAH 	 50 	 0 	Receipt RCPT_8894	
1110	1110401 - BUPA ARABIA	210 - JAO HERA BR. JEDDAH 	 220 	 0 	Receipt RCPT_8894	
5011		210 - JAO HERA BR. JEDDAH 	 0 	 450 	Receipt RCPT_8894	
5031		210 - JAO HERA BR. JEDDAH 	 180 	 0 	Receipt RCPT_8894	
1310		210 - JAO HERA BR. JEDDAH 	 0 	 43.41 	Receipt RCPT_8894	
5041		210 - JAO HERA BR. JEDDAH 	 43.41 	 0 	Receipt RCPT_8894	
